f1,f2,f3,f4,f5,f6,time
1,1,1,-1,-1,1,6612
1,1,1,-1,-1,1,1730
1,1,1,-1,-1,1,904
1,1,1,-1,-1,1,1307
1,1,1,-1,-1,1,1477
1,1,1,-1,-1,1,1450
1,1,1,-1,-1,1,1164
1,1,1,-1,-1,1,1021
1,1,1,-1,-1,1,1955
-1,1,1,-1,1,-1,12567
-1,1,1,-1,1,-1,620
-1,1,1,-1,1,-1,1066
-1,1,1,-1,1,-1,889
-1,1,1,-1,1,-1,956
-1,1,1,-1,1,-1,1170
-1,1,1,-1,1,-1,874
-1,1,1,-1,1,-1,802
-1,1,1,-1,1,-1,793
-1,1,1,-1,1,-1,938
1,-1,1,-1,1,1,1230
1,-1,1,-1,1,1,1108
1,-1,1,-1,1,1,1273
1,-1,1,-1,1,1,1169
1,-1,1,-1,1,1,1237
1,-1,1,-1,1,1,1315
1,-1,1,-1,1,1,1217
1,-1,1,-1,1,1,1032
1,-1,1,-1,1,1,1540
1,-1,1,-1,1,1,2184
-1,-1,1,1,-1,1,1386
-1,-1,1,1,-1,1,787
-1,-1,1,1,-1,1,924
-1,-1,1,1,-1,1,910
-1,-1,1,1,-1,1,954
-1,-1,1,1,-1,1,1153
-1,-1,1,1,-1,1,808
-1,-1,1,1,-1,1,854
-1,-1,1,1,-1,1,816
-1,-1,1,1,-1,1,755
-1,-1,-1,1,1,-1,1027
-1,-1,-1,1,1,-1,986
-1,-1,-1,1,1,-1,894
-1,-1,-1,1,1,-1,1345
-1,-1,-1,1,1,-1,893
-1,-1,-1,1,1,-1,1156
-1,-1,-1,1,1,-1,938
-1,-1,-1,1,1,-1,1045
-1,-1,-1,1,1,-1,1049
-1,-1,-1,1,1,-1,963
1,-1,1,1,-1,-1,1178
1,-1,1,1,-1,-1,1210
1,-1,1,1,-1,-1,1507
1,-1,1,1,-1,-1,981
1,-1,1,1,-1,-1,1232
1,-1,1,1,-1,-1,1769
1,-1,1,1,-1,-1,1231
1,-1,1,1,-1,-1,1182
1,-1,1,1,-1,-1,1131
1,-1,1,1,-1,-1,3918
1,1,1,-1,1,1,1423
1,1,1,-1,1,1,1097
1,1,1,-1,1,1,1572
1,1,1,-1,1,1,1352
1,1,1,-1,1,1,1284
1,1,1,-1,1,1,1266
1,1,1,-1,1,1,999
1,1,1,-1,1,1,1829
1,1,1,-1,1,1,1343
1,1,1,-1,1,1,1319
1,-1,1,-1,-1,1,1442
1,-1,1,-1,-1,1,1537
1,-1,1,-1,-1,1,1593
1,-1,1,-1,-1,1,1224
1,-1,1,-1,-1,1,905
1,-1,1,-1,-1,1,1128
1,-1,1,-1,-1,1,1196
1,-1,1,-1,-1,1,1803
1,-1,1,-1,-1,1,1935
1,-1,1,-1,-1,1,1178
1,1,1,1,-1,1,1180
1,1,1,1,-1,1,1480
1,1,1,1,-1,1,1310
1,1,1,1,-1,1,1437
1,1,1,1,-1,1,1378
1,1,1,1,-1,1,1534
1,1,1,1,-1,1,1283
1,1,1,1,-1,1,1463
1,1,1,1,-1,1,1266
1,1,1,1,-1,1,1489
-1,-1,1,1,1,-1,873
-1,-1,1,1,1,-1,975
-1,-1,1,1,1,-1,898
-1,-1,1,1,1,-1,1065
-1,-1,1,1,1,-1,1026
-1,-1,1,1,1,-1,1031
-1,-1,1,1,1,-1,1331
-1,-1,1,1,1,-1,1533
-1,-1,1,1,1,-1,852
-1,-1,1,1,1,-1,781
-1,-1,-1,1,-1,1,764
-1,-1,-1,1,-1,1,879
-1,-1,-1,1,-1,1,835
-1,-1,-1,1,-1,1,712
-1,-1,-1,1,-1,1,839
-1,-1,-1,1,-1,1,822
-1,-1,-1,1,-1,1,1130
-1,-1,-1,1,-1,1,1512
-1,-1,-1,1,-1,1,860
-1,-1,-1,1,-1,1,559
-1,-1,-1,-1,-1,-1,922
-1,-1,-1,-1,-1,-1,923
-1,-1,-1,-1,-1,-1,960
-1,-1,-1,-1,-1,-1,896
-1,-1,-1,-1,-1,-1,1008
-1,-1,-1,-1,-1,-1,882
-1,-1,-1,-1,-1,-1,1088
-1,-1,-1,-1,-1,-1,895
-1,-1,-1,-1,-1,-1,938
-1,-1,-1,-1,-1,-1,953
1,1,1,-1,-1,-1,898
1,1,1,-1,-1,-1,1401
1,1,1,-1,-1,-1,841
1,1,1,-1,-1,-1,978
1,1,1,-1,-1,-1,1016
1,1,1,-1,-1,-1,1921
1,1,1,-1,-1,-1,1211
1,1,1,-1,-1,-1,1401
1,1,1,-1,-1,-1,1219
1,1,1,-1,-1,-1,1966
1,-1,1,-1,1,-1,1086
1,-1,1,-1,1,-1,1061
1,-1,1,-1,1,-1,1148
1,-1,1,-1,1,-1,949
1,-1,1,-1,1,-1,1086
1,-1,1,-1,1,-1,1061
1,-1,1,-1,1,-1,1148
1,-1,1,-1,1,-1,949
1,-1,1,-1,1,-1,1086
1,-1,1,-1,1,-1,1061
-1,1,-1,-1,1,-1,5335
-1,1,-1,-1,1,-1,936
-1,1,-1,-1,1,-1,1351
-1,1,-1,-1,1,-1,956
-1,1,-1,-1,1,-1,1109
-1,1,-1,-1,1,-1,1403
-1,1,-1,-1,1,-1,851
-1,1,-1,-1,1,-1,898
-1,1,-1,-1,1,-1,7133
-1,1,-1,-1,1,-1,1085
-1,-1,-1,1,1,1,829
-1,-1,-1,1,1,1,1031
-1,-1,-1,1,1,1,1373
-1,-1,-1,1,1,1,1203
-1,-1,-1,1,1,1,1159
-1,-1,-1,1,1,1,995
-1,-1,-1,1,1,1,1326
-1,-1,-1,1,1,1,899
-1,-1,-1,1,1,1,947
-1,-1,-1,1,1,1,772
1,1,-1,1,1,-1,932
1,1,-1,1,1,-1,1156
1,1,-1,1,1,-1,1131
1,1,-1,1,1,-1,1197
1,1,-1,1,1,-1,950
1,1,-1,1,1,-1,840
1,1,-1,1,1,-1,1990
1,1,-1,1,1,-1,966
1,1,-1,1,1,-1,2109
1,1,-1,1,1,-1,1100
-1,-1,-1,-1,1,1,900
-1,-1,-1,-1,1,1,801
-1,-1,-1,-1,1,1,1071
-1,-1,-1,-1,1,1,1056
-1,-1,-1,-1,1,1,706
-1,-1,-1,-1,1,1,867
-1,-1,-1,-1,1,1,1187
-1,-1,-1,-1,1,1,853
-1,-1,-1,-1,1,1,4278
-1,-1,-1,-1,1,1,896
1,-1,-1,1,-1,1,1529
1,-1,-1,1,-1,1,1122
1,-1,-1,1,-1,1,1005
1,-1,-1,1,-1,1,929
1,-1,-1,1,-1,1,733
1,-1,-1,1,-1,1,896
1,-1,-1,1,-1,1,1586
1,-1,-1,1,-1,1,1748
1,-1,-1,1,-1,1,1138
1,-1,-1,1,-1,1,2282
-1,1,-1,-1,-1,1,884
-1,1,-1,-1,-1,1,922
-1,1,-1,-1,-1,1,939
-1,1,-1,-1,-1,1,1203
-1,1,-1,-1,-1,1,884
-1,1,-1,-1,-1,1,922
-1,1,-1,-1,-1,1,939
-1,1,-1,-1,-1,1,1203
-1,1,-1,-1,-1,1,884
-1,1,-1,-1,-1,1,922
-1,-1,-1,1,-1,-1,882
-1,-1,-1,1,-1,-1,799
-1,-1,-1,1,-1,-1,979
-1,-1,-1,1,-1,-1,12383
-1,-1,-1,1,-1,-1,778
-1,-1,-1,1,-1,-1,983
-1,-1,-1,1,-1,-1,897
-1,-1,-1,1,-1,-1,1595
-1,-1,-1,1,-1,-1,1002
-1,-1,-1,1,-1,-1,2540
1,1,-1,1,-1,1,1013
1,1,-1,1,-1,1,1409
1,1,-1,1,-1,1,1487
1,1,-1,1,-1,1,1513
1,1,-1,1,-1,1,1550
1,1,-1,1,-1,1,1538
1,1,-1,1,-1,1,1679
1,1,-1,1,-1,1,1254
1,1,-1,1,-1,1,1197
1,1,-1,1,-1,1,1366
-1,1,-1,1,-1,-1,967
-1,1,-1,1,-1,-1,1068
-1,1,-1,1,-1,-1,1005
-1,1,-1,1,-1,-1,987
-1,1,-1,1,-1,-1,1040
-1,1,-1,1,-1,-1,991
-1,1,-1,1,-1,-1,1001
-1,1,-1,1,-1,-1,763
-1,1,-1,1,-1,-1,985
-1,1,-1,1,-1,-1,938
-1,-1,-1,-1,-1,1,974
-1,-1,-1,-1,-1,1,1071
-1,-1,-1,-1,-1,1,1023
-1,-1,-1,-1,-1,1,858
-1,-1,-1,-1,-1,1,827
-1,-1,-1,-1,-1,1,750
-1,-1,-1,-1,-1,1,665
-1,-1,-1,-1,-1,1,961
-1,-1,-1,-1,-1,1,769
-1,-1,-1,-1,-1,1,557
1,1,-1,-1,-1,-1,715
1,1,-1,-1,-1,-1,1264
1,1,-1,-1,-1,-1,1016
1,1,-1,-1,-1,-1,1112
1,1,-1,-1,-1,-1,1720
1,1,-1,-1,-1,-1,790
1,1,-1,-1,-1,-1,715
1,1,-1,-1,-1,-1,1264
1,1,-1,-1,-1,-1,1016
1,1,-1,-1,-1,-1,1112
-1,1,-1,-1,1,1,773
-1,1,-1,-1,1,1,904
-1,1,-1,-1,1,1,1130
-1,1,-1,-1,1,1,972
-1,1,-1,-1,1,1,811
-1,1,-1,-1,1,1,901
-1,1,-1,-1,1,1,741
-1,1,-1,-1,1,1,958
-1,1,-1,-1,1,1,760
-1,1,-1,-1,1,1,1041
1,-1,-1,-1,1,-1,1304
1,-1,-1,-1,1,-1,1134
1,-1,-1,-1,1,-1,1004
1,-1,-1,-1,1,-1,1127
1,-1,-1,-1,1,-1,1102
1,-1,-1,-1,1,-1,1240
1,-1,-1,-1,1,-1,1158
1,-1,-1,-1,1,-1,1336
1,-1,-1,-1,1,-1,987
1,-1,-1,-1,1,-1,879
1,1,-1,1,1,1,1324
1,1,-1,1,1,1,1800
1,1,-1,1,1,1,1239
1,1,-1,1,1,1,1257
1,1,-1,1,1,1,1442
1,1,-1,1,1,1,1239
1,1,-1,1,1,1,1149
1,1,-1,1,1,1,1417
1,1,-1,1,1,1,1709
1,1,-1,1,1,1,1020
-1,1,-1,1,1,1,994
-1,1,-1,1,1,1,954
-1,1,-1,1,1,1,873
-1,1,-1,1,1,1,966
-1,1,-1,1,1,1,924
-1,1,-1,1,1,1,983
-1,1,-1,1,1,1,895
-1,1,-1,1,1,1,646
-1,1,-1,1,1,1,1024
