f1,f2,f3,f4,f5,f6,time
-1,-1,1,1,1,-1,6.660575149839686
-1,-1,-1,1,-1,1,6.638567789166521
-1,-1,-1,1,-1,1,6.778784897685177
-1,-1,-1,1,-1,1,6.727431724850855
-1,-1,-1,1,-1,1,6.568077911411976
-1,-1,-1,1,-1,1,6.732210706467206
-1,-1,-1,1,-1,1,6.71174039505618
-1,-1,-1,1,-1,1,7.029972911706386
-1,-1,-1,1,-1,1,7.321188556739478
-1,-1,-1,1,-1,1,6.756932389247553
-1,-1,-1,1,-1,1,6.326149473155099
-1,-1,-1,-1,-1,-1,6.826545223556594
-1,-1,-1,-1,-1,-1,6.827629234502852
-1,-1,-1,-1,-1,-1,6.866933284461882
-1,-1,-1,-1,-1,-1,6.79794041297493
-1,-1,-1,-1,-1,-1,6.915723448631314
-1,-1,-1,-1,-1,-1,6.782192056006791
-1,-1,-1,-1,-1,-1,6.992096427415888
-1,-1,-1,-1,-1,-1,6.796823718274855
-1,-1,-1,-1,-1,-1,6.843749949006225
-1,-1,-1,-1,-1,-1,6.859614903654202
1,1,1,-1,-1,-1,6.8001700683022
1,1,1,-1,-1,-1,7.244941546337007
1,1,1,-1,-1,-1,6.734591659972948
1,1,1,-1,-1,-1,6.885509670034818
1,1,1,-1,-1,-1,6.923628628138427
1,1,1,-1,-1,-1,7.560601162768557
1,1,1,-1,-1,-1,7.099201743553092
1,1,1,-1,-1,-1,7.244941546337007
1,1,1,-1,-1,-1,7.105786129481271
1,1,1,-1,-1,-1,7.583756300707112
1,-1,1,-1,1,-1,1086
1,-1,1,-1,1,-1,1061
1,-1,1,-1,1,-1,1148
1,-1,1,-1,1,-1,949
1,-1,1,-1,1,-1,1086
1,-1,1,-1,1,-1,1061
1,-1,1,-1,1,-1,1148
1,-1,1,-1,1,-1,949
1,-1,1,-1,1,-1,1086
1,-1,1,-1,1,-1,1061
-1,1,-1,-1,1,-1,8.582044163735853
-1,1,-1,-1,1,-1,6.841615476477592
-1,1,-1,-1,1,-1,7.208600337960199
-1,1,-1,-1,1,-1,6.862757913051401
-1,1,-1,-1,1,-1,7.011213987350367
-1,1,-1,-1,1,-1,7.246368080102461
-1,1,-1,-1,1,-1,6.7464121285733745
-1,1,-1,-1,1,-1,6.8001700683022
-1,1,-1,-1,1,-1,8.872487182278038
-1,1,-1,-1,1,-1,6.98933526597456
-1,-1,-1,1,1,1,6.720220155135295
-1,-1,-1,1,1,1,6.93828448401696
-1,-1,-1,1,1,1,7.224753405767971
-1,-1,-1,1,1,1,7.0925737159746784
-1,-1,-1,1,1,1,7.055312843339752
-1,-1,-1,1,1,1,6.902742737158593
-1,-1,-1,1,1,1,7.189922170745808
-1,-1,-1,1,1,1,6.80128303447162
-1,-1,-1,1,1,1,6.853299093186078
-1,-1,-1,1,1,1,6.648984550024776
1,1,-1,1,1,-1,6.837332814685591
1,1,-1,1,1,-1,7.052721049232323
1,1,-1,1,1,-1,7.030857476116121
1,1,-1,1,1,-1,7.087573705557973
1,1,-1,1,1,-1,6.856461984594587
1,1,-1,1,1,-1,6.733401891837359
1,1,-1,1,1,-1,7.595889917718538
1,1,-1,1,1,-1,6.873163834212518
1,1,-1,1,1,-1,7.653969180478774
1,1,-1,1,1,-1,7.003065458786462
-1,-1,-1,-1,1,1,6.802394763324311
-1,-1,-1,-1,1,1,6.68586094706836
-1,-1,-1,-1,1,1,6.976348070447749
-1,-1,-1,-1,1,1,6.962243464266207
-1,-1,-1,-1,1,1,6.559615237493242
-1,-1,-1,-1,1,1,6.7650389767805414
-1,-1,-1,-1,1,1,7.079184394609668
-1,-1,-1,-1,1,1,6.748759547491679
-1,-1,-1,-1,1,1,8.361240889642351
-1,-1,-1,-1,1,1,6.79794041297493
1,-1,-1,1,-1,1,7.332369205929062
1,-1,-1,1,-1,1,7.022868086082641
1,-1,-1,1,-1,1,6.912742820493176
1,-1,-1,1,-1,1,6.834108738813838
1,-1,-1,1,-1,1,6.597145701886651
1,-1,-1,1,-1,1,6.79794041297493
1,-1,-1,1,-1,1,7.368970402194793
1,-1,-1,1,-1,1,7.466227556215481
1,-1,-1,1,-1,1,7.037027614686276
1,-1,-1,1,-1,1,7.732807530422021
-1,1,-1,-1,-1,1,884
-1,1,-1,-1,-1,1,922
-1,1,-1,-1,-1,1,939
-1,1,-1,-1,-1,1,1203
-1,1,-1,-1,-1,1,884
-1,1,-1,-1,-1,1,922
-1,1,-1,-1,-1,1,939
-1,1,-1,-1,-1,1,1203
-1,1,-1,-1,-1,1,884
-1,1,-1,-1,-1,1,922
-1,-1,-1,1,-1,-1,6.782192056006791
-1,-1,-1,1,-1,-1,6.683360945766275
-1,-1,-1,1,-1,-1,6.88653164253051
-1,-1,-1,1,-1,-1,9.424079843215099
-1,-1,-1,1,-1,-1,6.656726524178391
-1,-1,-1,1,-1,-1,6.890609120147166
